model,feature_selection,Genre,Accuracy,Precision,Recall,F1-Score,Support
MultiBayes,lda,Φαντασίας,0.8451268357810414,0.5436893203883495,0.448,0.4912280701754386,125.0
MultiBayes,lda,Δραματικό Θρίλερ,0.7369826435246996,0.35772357723577236,0.2716049382716049,0.30877192982456136,162.0
MultiBayes,lda,Εποχής,0.7703604806408545,0.41818181818181815,0.47586206896551725,0.44516129032258067,145.0
MultiBayes,lda,Δραμεντί,0.7129506008010681,0.3698630136986301,0.5126582278481012,0.429708222811671,158.0
MultiBayes,lda,Δράσης,0.8785046728971962,0.48484848484848486,0.735632183908046,0.5844748858447489,87.0
MultiBayes,lda,Δραματική,0.6528704939919893,0.4423676012461059,0.6367713004484304,0.5220588235294118,223.0
MultiBayes,lda,Επιστημονικής Φαντασίας,0.8811748998664887,0.5384615384615384,0.5104166666666666,0.5240641711229946,96.0
MultiBayes,lda,Κωμωδία,0.8090787716955942,0.3,0.5421686746987951,0.3862660944206009,83.0
MultiBayes,lda,Περιπέτεια,0.8531375166889186,0.5238095238095238,0.6581196581196581,0.5833333333333334,117.0
MultiBayes,lda,Avg/Total,0.7774454361122337,0.43275264728098345,0.5272488509520683,0.4686345666326098,1523.0
MultiBayes,tfidf,Θρίλερ,0.8024032042723631,0.49056603773584906,0.5379310344827586,0.513157894736842,145.0
MultiBayes,tfidf,Οικογενειακή,0.8851802403204272,0.27848101265822783,0.43137254901960786,0.3384615384615385,51.0
MultiBayes,tfidf,Αισθηματική,0.7583444592790387,0.37373737373737376,0.5648854961832062,0.4498480243161095,131.0
MultiBayes,tfidf,Φαντασίας,0.8477970627503337,0.5544554455445545,0.448,0.4955752212389381,125.0
MultiBayes,tfidf,Δραματικό Θρίλερ,0.7356475300400535,0.35714285714285715,0.2777777777777778,0.31250000000000006,162.0
MultiBayes,tfidf,Εποχής,0.7810413885180241,0.44025157232704404,0.4827586206896552,0.46052631578947373,145.0
MultiBayes,tfidf,Δραμεντί,0.7009345794392523,0.3472222222222222,0.47468354430379744,0.40106951871657753,158.0
MultiBayes,tfidf,Δράσης,0.8798397863818425,0.48872180451127817,0.7471264367816092,0.5909090909090909,87.0
MultiBayes,tfidf,Δραματική,0.664886515353805,0.45625,0.6547085201793722,0.5377532228360958,223.0
MultiBayes,tfidf,Επιστημονικής Φαντασίας,0.8718291054739653,0.5,0.46875,0.4838709677419355,96.0
MultiBayes,tfidf,Κωμωδία,0.8064085447263017,0.2987012987012987,0.5542168674698795,0.3881856540084388,83.0
MultiBayes,tfidf,Περιπέτεια,0.8491321762349799,0.5135135135135135,0.6495726495726496,0.5735849056603773,117.0
MultiBayes,tfidf,Avg/Total,0.7779223249734599,0.4315769544263811,0.5239658568614577,0.4664643746126604,1523.0
NeuralNet,lda,Θρίλερ,0.7636849132176236,0.3987341772151899,0.43448275862068964,0.4158415841584158,145.0
NeuralNet,lda,Οικογενειακή,0.8838451268357811,0.25,0.35294117647058826,0.2926829268292683,51.0
NeuralNet,lda,Αισθηματική,0.8090787716955942,0.45081967213114754,0.4198473282442748,0.43478260869565216,131.0
NeuralNet,lda,Φαντασίας,0.8317757009345794,0.4954954954954955,0.44,0.4661016949152542,125.0
